,organization_id,id,species,name,age,breed,mixed,color,fixed,house_trained,good_with_children,good_with_dogs,good_with_cats,gender,distance,url,organization_name
208,UT231,73923634,Dog,Timmie,Young,English Shepherd,True,,False,False,True,True,True,Male,28.1149,https://www.petfinder.com/dog/timmie-73923634/ut/herriman/outreach-pawsabilities-ut231/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Outreach Pawsabilities
209,UT231,73923635,Dog,Wonka,Young,Havanese,True,,True,True,True,True,True,Male,28.1149,https://www.petfinder.com/dog/wonka-73923635/ut/herriman/outreach-pawsabilities-ut231/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Outreach Pawsabilities
210,UT231,73923636,Dog,Barry,Young,Belgian Shepherd / Malinois,False,,True,True,True,,,Male,28.1149,https://www.petfinder.com/dog/barry-73923636/ut/herriman/outreach-pawsabilities-ut231/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Outreach Pawsabilities
211,UT231,73923637,Dog,Peanut,Young,Poodle,True,"Tricolor (Brown, Black, & White)",True,True,,,True,Male,28.1149,https://www.petfinder.com/dog/peanut-73923637/ut/herriman/outreach-pawsabilities-ut231/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Outreach Pawsabilities
212,UT231,73923638,Dog,Benji,Young,Terrier,True,,True,True,True,True,False,Male,28.1149,https://www.petfinder.com/dog/benji-73923638/ut/herriman/outreach-pawsabilities-ut231/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Outreach Pawsabilities
213,UT231,73923641,Dog,Cash,Adult,Chihuahua,True,,False,True,True,True,True,Male,28.1149,https://www.petfinder.com/dog/cash-73923641/ut/herriman/outreach-pawsabilities-ut231/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Outreach Pawsabilities
214,UT231,73923642,Dog,Clark,Young,Jack Russell Terrier,True,"Tricolor (Brown, Black, & White)",True,False,True,True,True,Male,28.1149,https://www.petfinder.com/dog/clark-73923642/ut/herriman/outreach-pawsabilities-ut231/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Outreach Pawsabilities
215,UT231,73923643,Dog,Mandy,Adult,Chihuahua,False,White / Cream,True,False,False,True,True,Female,28.1149,https://www.petfinder.com/dog/mandy-73923643/ut/herriman/outreach-pawsabilities-ut231/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Outreach Pawsabilities
216,UT231,73923644,Dog,Ash,Adult,Dachshund,True,"Tricolor (Brown, Black, & White)",False,False,True,True,,Male,28.1149,https://www.petfinder.com/dog/ash-73923644/ut/herriman/outreach-pawsabilities-ut231/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Outreach Pawsabilities
217,UT231,73923645,Dog,Billy,Adult,Chihuahua,False,"Tricolor (Brown, Black, & White)",False,False,,True,,Male,28.1149,https://www.petfinder.com/dog/billy-73923645/ut/herriman/outreach-pawsabilities-ut231/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Outreach Pawsabilities
218,UT231,73923640,Dog,Maple,Adult,German Shepherd Dog,True,Brown / Chocolate,False,True,True,,,Female,28.1149,https://www.petfinder.com/dog/maple-73923640/ut/herriman/outreach-pawsabilities-ut231/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Outreach Pawsabilities
219,UT81,73921446,Dog,Haagen Dazs,Adult,Mixed Breed,True,Black,True,False,,,,Female,35.8073,https://www.petfinder.com/dog/haagen-dazs-73921446/ut/salt-lake-city/best-friends-animal-society-utah-ut81/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Best Friends Animal Society-Utah
220,UT81,73921448,Cat,Ponyo,Young,Domestic Short Hair,False,Brown / Chocolate,True,False,,,,Female,35.8073,https://www.petfinder.com/cat/ponyo-73921448/ut/salt-lake-city/best-friends-animal-society-utah-ut81/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Best Friends Animal Society-Utah
221,UT81,73921453,Cat,Scrapbook,Young,Domestic Short Hair,False,Orange / Red,True,False,,,,Male,35.8073,https://www.petfinder.com/cat/scrapbook-73921453/ut/salt-lake-city/best-friends-animal-society-utah-ut81/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Best Friends Animal Society-Utah
222,UT81,73921449,Cat,Nutmeg,Adult,Domestic Short Hair,False,Tortoiseshell,True,False,,,,Female,35.8073,https://www.petfinder.com/cat/nutmeg-73921449/ut/salt-lake-city/best-friends-animal-society-utah-ut81/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Best Friends Animal Society-Utah
223,UT81,73921451,Cat,Origami,Young,Domestic Short Hair,False,Black,True,False,,,,Male,35.8073,https://www.petfinder.com/cat/origami-73921451/ut/salt-lake-city/best-friends-animal-society-utah-ut81/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Best Friends Animal Society-Utah
224,UT81,73921454,Dog,Finnegan,Adult,Mixed Breed,True,White / Cream,True,False,,,,Male,35.8073,https://www.petfinder.com/dog/finnegan-73921454/ut/salt-lake-city/best-friends-animal-society-utah-ut81/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Best Friends Animal Society-Utah
225,UT81,73921445,Cat,Barrel,Baby,Domestic Short Hair,False,Brown / Chocolate,True,False,,,,Male,35.8073,https://www.petfinder.com/cat/barrel-73921445/ut/salt-lake-city/best-friends-animal-society-utah-ut81/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Best Friends Animal Society-Utah
226,UT81,73921452,Cat,Snowball,Senior,Domestic Short Hair,False,Orange / Red,True,False,,,,Male,35.8073,https://www.petfinder.com/cat/snowball-73921452/ut/salt-lake-city/best-friends-animal-society-utah-ut81/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Best Friends Animal Society-Utah
227,UT81,73921450,Cat,Sparky,Senior,Domestic Short Hair,False,Brown / Chocolate,True,False,,,,Male,35.8073,https://www.petfinder.com/cat/sparky-73921450/ut/salt-lake-city/best-friends-animal-society-utah-ut81/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Best Friends Animal Society-Utah
228,UT38,73920105,Cat,Buffy,Adult,Tabby,False,Tabby (Gray / Blue / Silver),False,False,,,,Female,32.9329,https://www.petfinder.com/cat/buffy-73920105/ut/salt-lake-city/pet-samaritan-fund-ut38/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Pet Samaritan Fund
229,UT208,73919148,Dog,Bebe,Adult,Great Pyrenees,False,White / Cream,False,False,True,True,,Female,49.9608,https://www.petfinder.com/dog/bebe-73919148/ut/grantsville/happy-tails-at-pegasus-ut208/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Happy Tails at Pegasus
